net_manager,street,house_number,zipcode,city,annual_consume,annual_produce
Enexis B.V.,Sasdijk,146,4251AB,WERKENDAM,267.625,0
Enexis B.V.,Nieuweweg,107,4251AE,WERKENDAM,238.8095238,0
Enexis B.V.,Koppenhof,34,4251AH,WERKENDAM,256.1666667,0
Enexis B.V.,Plein,27,4251AJ,WERKENDAM,210.7692308,31.61538462
Enexis B.V.,Zevenhuizen,45,4251AK,WERKENDAM,132.9583333,0
Enexis B.V.,Zagerij,58,4251AP,WERKENDAM,83.25,45.7875
Enexis B.V.,Sluisstraat,138,4251AV,WERKENDAM,154.4761905,108.1333334
Enexis B.V.,Oudsas,64,4251AW,WERKENDAM,1102.272727,242.4999999
Enexis B.V.,Prins Clausplein,42,4251AX,WERKENDAM,126.8,0
Enexis B.V.,Havenstraat,113,4251BC,WERKENDAM,234.1052632,0
Enexis B.V.,Hooftlanden,2,4251BE,WERKENDAM,147.48,0
Enexis B.V.,Molenplein,67,4251BG,WERKENDAM,257.1333333,0
Enexis B.V.,Beukenkampstraat,23,4251BJ,WERKENDAM,144,0
Enexis B.V.,Van Heldenstraat,59,4251BK,WERKENDAM,140.0909091,0
Enexis B.V.,Hofje,76,4251BV,WERKENDAM,78.51724138,0
Enexis B.V.,Slikstraat,127,4251CB,WERKENDAM,439.2142857,0
Enexis B.V.,Boterstraat,139,4251CC,WERKENDAM,270.1111111,0
Enexis B.V.,Wilsesteeg,69,4251CD,WERKENDAM,261.3181818,0
Enexis B.V.,Kerkstraat,39,4251CH,WERKENDAM,494.8,0
Enexis B.V.,Hoogstraat,64,4251CJ,WERKENDAM,446.5454545,0
Enexis B.V.,Merwestraat,102,4251CP,WERKENDAM,225.975,0
Enexis B.V.,Kruisstraat,21,4251CT,WERKENDAM,215.0909091,0
Enexis B.V.,Lozestoep,4,4251CZ,WERKENDAM,226.75,0
Enexis B.V.,Richter,128,4251DA,WERKENDAM,118.7111111,0
Enexis B.V.,Vlet,10,4251DC,WERKENDAM,65.23529412,0
Enexis B.V.,Binnengriend,32,4251DG,WERKENDAM,144.44,135.7736
Enexis B.V.,Biezengors,37,4251DJ,WERKENDAM,151.2592593,0
Enexis B.V.,Bladriet,9,4251DL,WERKENDAM,267.2352941,0
Enexis B.V.,Rietheuvel,24,4251DN,WERKENDAM,198.3333333,0
Enexis B.V.,Stormrand,141,4251DP,WERKENDAM,435.25,278.56
Enexis B.V.,Vloedanker,102,4251DS,WERKENDAM,611.5,0
Enexis B.V.,Reegreppel,79,4251DV,WERKENDAM,195.2727273,0
Enexis B.V.,Vissersdijk,103,4251EA,WERKENDAM,410.6923077,0
Enexis B.V.,Zandwei,133,4251EJ,WERKENDAM,197.6,0
Enexis B.V.,Laantje,88,4251EL,WERKENDAM,661.7272727,0
Enexis B.V.,V T vd Boogaardstr,30,4251EM,WERKENDAM,321.25,0
Enexis B.V.,Bruigomstraat,79,4251EP,WERKENDAM,294.9166667,0
Enexis B.V.,Vervoornestraat,87,4251ER,WERKENDAM,321.5,353.65
Enexis B.V.,L Verdoornstraat,31,4251ES,WERKENDAM,96.16666667,0
Enexis B.V.,Voorstevliet,27,4251EW,WERKENDAM,310.8333333,0
Enexis B.V.,De Erker,146,4251EZ,WERKENDAM,36.28301887,0
Enexis B.V.,Nonnenweer,140,4251GA,WERKENDAM,235.5833333,0
Enexis B.V.,Sportlaan,6,4251GC,WERKENDAM,278.0909091,0
Enexis B.V.,Wilgenlaan,48,4251GE,WERKENDAM,58.046875,0
Enexis B.V.,Graaf van Hornelaan,137,4251GH,WERKENDAM,148.0833333,0
Enexis B.V.,Almsvoet,19,4251GL,WERKENDAM,85.55,93.2495
Enexis B.V.,Floreffestraat,88,4251GM,WERKENDAM,222.6,0
Enexis B.V.,Bentlaken,73,4251GS,WERKENDAM,125.3888889,0
Enexis B.V.,Postelstraat,76,4251HA,WERKENDAM,242.9285714,0
Enexis B.V.,Sluyterstraat,23,4251HE,WERKENDAM,213.4285714,0
Enexis B.V.,Werkina,119,4251HK,WERKENDAM,175.6764706,0
Enexis B.V.,Eemsteyn,112,4251HM,WERKENDAM,369.0833333,225.1408333
Enexis B.V.,Achtervliet,11,4251HP,WERKENDAM,415.9166667,220.4358334
Enexis B.V.,De Graaff,44,4251HS,WERKENDAM,144.85,0
Enexis B.V.,Klaproos,46,4251JA,WERKENDAM,120.5454545,114.5181818
Enexis B.V.,Weegbree,139,4251JJ,WERKENDAM,209.8947368,0
Enexis B.V.,Akkerwinde,116,4251JK,WERKENDAM,578.4545455,0
Enexis B.V.,Papaver,114,4251JM,WERKENDAM,159.4444444,0
Enexis B.V.,Kamille,18,4251JP,WERKENDAM,178.1052632,49.8694737
Enexis B.V.,Klaver,22,4251JS,WERKENDAM,237.2666667,0
Enexis B.V.,Ereprijs,26,4251JT,WERKENDAM,191,0
Enexis B.V.,Speenkruid,124,4251KA,WERKENDAM,442.2,0
Enexis B.V.,Zilverschoon,50,4251KE,WERKENDAM,184.952381,0
Enexis B.V.,Laan van Welgelegen,140,4251KJ,WERKENDAM,229.8333333,0
Enexis B.V.,Bereklauw,95,4251KP,WERKENDAM,265.6111111,0
Enexis B.V.,Wederik,15,4251KV,WERKENDAM,221.9130435,0
Enexis B.V.,Bruningsstraat,6,4251LA,WERKENDAM,1855.461538,0
Enexis B.V.,Weerenweg,33,4251LB,WERKENDAM,564.0731707,0
Enexis B.V.,Leemansstraat,137,4251LD,WERKENDAM,491.047619,0
Enexis B.V.,Velsenstraat,30,4251LE,WERKENDAM,322.5454545,0
Enexis B.V.,Bolstrastraat,33,4251LK,WERKENDAM,1930.8,617.856
Enexis B.V.,Ferrandstraat,38,4251LL,WERKENDAM,539.2,0
Enexis B.V.,Leeghwaterstraat,109,4251LM,WERKENDAM,680.75,503.755
Enexis B.V.,van der Kunstraat,122,4251LN,WERKENDAM,901.5625,0
Enexis B.V.,Hulsenboschstraat,133,4251LP,WERKENDAM,602.9130435,0
Enexis B.V.,Het Fort,109,4251LZ,WERKENDAM,711.2,0
Enexis B.V.,Witboomkil,150,4251MA,WERKENDAM,102.8125,0
Enexis B.V.,Lijnoorden,122,4251NH,WERKENDAM,1324.8,0
Enexis B.V.,Beatrixhaven,14,4251NK,WERKENDAM,1602,0
Enexis B.V.,Biesboschhaven Zuid,42,4251NL,WERKENDAM,483.3333333,270.6666666
Enexis B.V.,Petrusplaat,145,4251NN,WERKENDAM,933.0625,0
Enexis B.V.,Oude Beeck,28,4251NP,WERKENDAM,1086.529412,0
Enexis B.V.,Sijlweg,114,4251NS,WERKENDAM,1808.6,0
Enexis B.V.,Bandijk,150,4251NT,WERKENDAM,413.1176471,0
Enexis B.V.,Weeresteinweg,127,4251NV,WERKENDAM,620.5714286,0
Enexis B.V.,Werkensedijk,103,4251PE,WERKENDAM,249.125,0
Enexis B.V.,Schans,103,4251PT,WERKENDAM,675,0
Enexis B.V.,Tol,8,4251PX,WERKENDAM,420.7142857,0
Enexis B.V.,D'Altenaer,105,4251TX,WERKENDAM,100.1904762,0
Enexis B.V.,Ganzepad,150,4251VA,WERKENDAM,145.4375,0
Enexis B.V.,Eendepad,113,4251VC,WERKENDAM,149.8095238,0
Enexis B.V.,Zaagbekstraat,33,4251VE,WERKENDAM,275.6875,0
Enexis B.V.,Talingpad,32,4251VH,WERKENDAM,106.5,0
Enexis B.V.,Pijlstaartpad,52,4251VM,WERKENDAM,343,0
Enexis B.V.,Pauwelsweer,31,4251VP,WERKENDAM,173.1578947,0
Enexis B.V.,Raadhuislaan,18,4251VS,WERKENDAM,50.57627119,0
Enexis B.V.,Van Randwijklaan,77,4251VT,WERKENDAM,120.8157895,0
Enexis B.V.,Snellenweer,90,4251VV,WERKENDAM,466.3333333,0
Enexis B.V.,Raadhuisplein,77,4251VX,WERKENDAM,90.35714286,0
Enexis B.V.,Eemkerck,139,4251WB,WERKENDAM,213.6842105,141.0315789
Enexis B.V.,Loonsweer,110,4251WD,WERKENDAM,311.7142857,0
Enexis B.V.,Wittingsweer,55,4251WH,WERKENDAM,218.8571429,183.84
Enexis B.V.,Voetweyde,37,4251WL,WERKENDAM,243.9375,0
Enexis B.V.,Sleeuwijksedijk,82,4251XA,WERKENDAM,371,0
Enexis B.V.,Wielstraat,79,4251XD,WERKENDAM,105.3939394,0
Enexis B.V.,Reeweg,12,4251XH,WERKENDAM,203.1666667,0
Enexis B.V.,Wierinxwal,34,4251XK,WERKENDAM,233.2777778,0
Enexis B.V.,Tuinstraat,6,4251XM,WERKENDAM,187.375,0
Enexis B.V.,Kappenwaard,79,4251XN,WERKENDAM,198.0666667,55.45866668
Enexis B.V.,Spijksweer,43,4251XR,WERKENDAM,169.1666667,0
Enexis B.V.,Hofstee,91,4251XT,WERKENDAM,121,53.24
Enexis B.V.,Kerckekamp,19,4251XV,WERKENDAM,157.7222222,0
